Date,Open,High,Low,Close,Volume
2004-06-15,23.33,23.33,22.67,23.07,1484
2004-06-16,22.83,23.1,22.83,22.93,4336
2004-06-17,22.87,23.2,22.07,22.87,7158
2004-06-18,24.6,24.6,22.73,22.73,8619
2004-06-21,22.93,22.93,22.4,22.6,5488
2004-06-22,23.57,23.57,22.53,22.67,6125
2004-06-23,22.07,22.6,22,22.47,7342
2004-06-24,21.37,22.53,21.37,22.53,4071
2004-06-25,22.33,23.07,22.17,22.97,10769
2004-06-28,22,22.17,20.7,21.4,29186
2004-06-29,20.3,20.67,20.1,20.43,3190
2004-06-30,20,20.4,19.77,20.13,1231
2004-07-01,20.07,20.1,19.83,19.93,1792
2004-07-02,21.03,21.03,18.8,19,10980
2004-07-05,19.8,19.93,19,19.27,5095
2004-07-06,16.9,19.33,16.9,18.83,3231
2004-07-07,18.5,19,18.5,18.77,958
2004-07-08,18,19.33,18,18.47,315
2004-07-09,18.1,19,18,18.07,715
2004-07-12,14.67,19.47,14.67,18.13,1728
2004-07-13,18.07,19.33,18.07,18.5,964
2004-07-14,18.6,18.93,18.27,18.5,3273
2004-07-15,19.27,19.47,18.83,19,3307
2004-07-16,19.33,20.23,19.2,19.67,5023
2004-07-19,19.67,20.17,19.4,20.03,3969
2004-07-20,19.93,19.93,19.67,19.87,4186
2004-07-21,19.67,19.97,19.53,19.77,4566
2004-07-22,21.27,21.33,19.53,19.83,29157
2004-07-23,18.73,20.1,18.73,19.6,1956
2004-07-26,19.9,19.9,19.1,19.2,7272
2004-07-27,19.3,19.67,19.07,19.23,3684
2004-07-28,19.2,19.47,19.07,19.17,4392
2004-07-29,19,19.27,18.53,18.57,5311
2004-07-30,19.87,19.87,18.7,18.83,5539
2004-08-02,19.53,19.53,18.77,18.87,983
2004-08-03,19.77,19.77,18.67,18.7,1985
2004-08-04,18.63,18.9,18.27,18.57,795
2004-08-05,19.93,19.93,18.37,18.77,3166
2004-08-06,20,20,18.77,18.97,5665
2004-08-09,19,19.27,18.97,19.1,651
2004-08-10,20,20,19.1,19.13,750
2004-08-11,19.37,19.6,18.33,18.53,16984
2004-08-12,19.33,19.33,18.37,18.6,3779
2004-08-13,18.67,19.33,18,18.47,9099
2004-08-16,18.73,20,18.37,19.53,85610
2004-08-17,18.67,20.6,18.67,19.37,29812
2004-08-18,19.67,19.97,19.1,19.47,29105
2004-08-19,19.33,19.47,19.07,19.23,5647
2004-08-20,19.5,20.4,19,19.73,30409
2004-08-23,19.33,19.93,19.17,19.23,7454
2004-08-24,19.57,19.6,19.17,19.5,2819
2004-08-25,19.83,19.83,19.07,19.23,1011
2004-08-26,19.33,19.33,19.13,19.23,2669
2004-08-27,18.9,19.33,18.87,19.23,3136
2004-08-30,19.4,19.8,19.37,19.57,8459
2004-08-31,21.33,21.33,19.57,20.27,42147
2004-09-01,21,22.67,20.67,22.4,66498
2004-09-02,22,24.03,21.77,23.03,92368
2004-09-03,23.67,23.67,22.4,22.6,15701
2004-09-06,22.1,22.87,22.1,22.4,14157
2004-09-07,22.37,23.5,22.23,22.63,30843
2004-09-08,23.47,27.17,23,27.17,295541
2004-09-09,28.8,29,24.73,25.07,242443
2004-09-10,25.33,26.33,24.67,25.13,60707
2004-09-13,25.37,25.97,24.73,24.87,28560
2004-09-14,24.93,24.93,23.83,23.9,21214
2004-09-15,23.93,25.33,23.47,23.63,19599
2004-09-16,23.33,24.8,23.33,23.87,13221
2004-09-17,25.67,25.67,23.87,24.13,10299
2004-09-20,24,24.07,23.4,23.53,13201
2004-09-21,23,23.83,22.87,23.57,7061
2004-09-22,23.33,23.37,22.73,23,14661
2004-09-23,23.8,23.8,22.5,22.67,19325
2004-09-24,23.13,23.87,22.37,23.27,21192
2004-09-27,23.27,23.67,23.1,23.37,9364
2004-09-28,23.77,24.5,23.53,24.17,26482
2004-09-29,24.33,24.47,23.73,24,20420
2004-09-30,24.23,25,24,24.13,25200
2004-10-01,23.93,24.83,23.93,24.5,13872
2004-10-04,24,25.3,24,24.63,25362
2004-10-05,24.43,24.8,24.43,24.67,8218
2004-10-06,23.7,24.73,23.7,24.1,13813
2004-10-07,24.03,28.93,23.93,28.63,202233
2004-10-08,29.53,30.27,28.27,28.8,209119
2004-10-09,29.5,29.5,27.67,27.87,30100
2004-10-11,28.17,28.47,25.8,26.33,32080
2004-10-12,27.27,27.27,25.83,26.47,27376
2004-10-14,26.63,26.63,25.53,26.4,30306
2004-10-15,26,28.5,26,26.47,91401
2004-10-18,25.83,26,23,24.63,29647
2004-10-19,23.33,25.2,23.33,24.73,10436
2004-10-20,24.83,25.7,24.83,25.23,16228
2004-10-21,25.8,25.8,25,25.5,10111
2004-10-25,25.33,25.33,24.07,24.17,8956
2004-10-26,24,25.2,24,24.63,8806
2004-10-27,25.83,25.83,24.67,24.73,9241
2004-10-28,25,25.57,24.73,25.37,8437
2004-10-29,25.57,25.57,24.8,25.17,4833
2004-11-01,25.33,26.5,24.83,25.53,10371
2004-11-02,23.73,27.33,23.73,26.97,34337
2004-11-03,27.37,28.3,26.53,27.07,28442
2004-11-04,27.4,27.4,26.03,26.33,10883
2004-11-05,26.63,26.63,25.9,26,4356
2004-11-08,26,26.5,25.87,26.03,12842
2004-11-09,25.6,26.37,25.43,25.5,9452
2004-11-10,26.27,26.67,25.67,26.13,11988
2004-11-11,26.57,26.83,26.17,26.5,20224
2004-11-12,26.33,26.93,26.33,26.53,2894
2004-11-16,27,27.67,26.17,27.03,31903
2004-11-17,26.67,27.23,26.27,26.47,15737
2004-11-18,26.67,27.67,26.5,26.6,25410
2004-11-19,27,27.4,26.43,26.7,18605
2004-11-22,25.33,27,25.33,26.73,6771
2004-11-23,26.67,28.6,26.67,27.13,39040
2004-11-24,27.83,27.87,26.87,27.07,28438
2004-11-25,26.37,27.7,26.37,26.57,30613
2004-11-29,26.43,27.7,26.43,27.37,24343
2004-11-30,27.67,28.33,26.67,27.2,65004
2004-12-01,26.4,28.13,25.83,27.73,54880
2004-12-02,28.67,28.73,27.43,27.63,44123
2004-12-03,27.83,27.83,26.77,27.1,22836
2004-12-06,27.97,28,26.87,27.07,18320
2004-12-07,27.23,27.67,26.37,27,8938
2004-12-08,28,28,25.3,26.03,41729
2004-12-09,26.33,26.33,24.9,25.33,32051
2004-12-10,25.33,26.33,25,25.33,46724
2004-12-13,26.67,26.87,25.2,26.47,21358
2004-12-14,28.13,28.13,26.47,27.07,34689
2004-12-15,27.97,28,27,27.13,45980
2004-12-16,27.8,28.27,27.33,27.43,40767
2004-12-17,27.97,28.2,26.37,26.97,37351
2004-12-20,26,30.67,26,28.83,211559
2004-12-21,29.6,29.93,28.33,28.53,66572
2004-12-22,28.67,29.33,26.9,27.2,44213
2004-12-23,27.33,28.57,26.27,27,75455
2004-12-24,27.5,27.53,26.6,26.7,40487
2004-12-27,26,27.57,26,26.67,29772
2004-12-28,27,27.27,26.5,26.9,75803
2004-12-29,27.53,27.97,26.73,26.83,30498
2004-12-30,27.07,27.07,26.33,26.53,29207
2004-12-31,26.7,27.6,26.67,27.13,16560
2005-01-03,26.97,27.87,26.73,27.4,26151
2005-01-04,26.93,28.5,26.93,27.47,57274
2005-01-05,26.67,27.87,25.77,26.17,34789
2005-01-06,25.33,26.33,25.33,25.8,16252
2005-01-07,26,26.6,24.67,25.43,38593
2005-01-10,26.67,26.67,24.7,25.7,23966
2005-01-11,25.83,26,25.07,25.23,18022
2005-01-12,25,25.63,24.3,24.4,17986
2005-01-13,24.67,24.9,24.4,24.67,13685
2005-01-14,24.83,25.13,24.63,24.87,6197
2005-01-17,24.8,24.83,23.43,23.7,8609
2005-01-18,24.33,25,24.13,24.37,7739
2005-01-19,25.93,25.93,24.3,24.4,4571
2005-01-20,24.03,24.67,23.73,24,6569
2005-01-24,23.83,24.63,23.67,24.03,1733
2005-01-25,24.03,24.37,23.83,24.33,9272
2005-01-27,23.7,25.57,23.7,24.9,4533
2005-01-28,25.33,25.33,24.6,25.13,7539
2005-01-31,24.93,25.67,24.67,25.37,7479
2005-02-01,26,26,25,25.03,10729
2005-02-02,26,26,24.1,25.2,11989
2005-02-03,25,25.67,25,25.33,18816
2005-02-04,25.03,25.2,24.7,25.03,7607
2005-02-07,25.03,25.67,25.03,25.4,12532
2005-02-08,26,26.4,24.17,25.63,36870
2005-02-09,26,26.33,25.6,25.87,28227
2005-02-10,26.03,26.33,25.5,25.6,20904
2005-02-11,25.73,26.27,25.73,25.97,11833
2005-02-14,25.6,26,25.27,25.5,19688
2005-02-15,25.67,25.8,24.9,25.13,10029
2005-02-16,25.5,25.97,25.17,25.23,14152
2005-02-17,24.03,25.57,24.03,25.1,6169
2005-02-18,25.17,25.3,24.77,24.9,10071
2005-02-21,25.63,25.63,24.53,24.63,8280
2005-02-22,24.07,24.97,24.07,24.7,5687
2005-02-23,24.83,25.2,24.5,24.6,7854
2005-02-24,24.37,29.53,24.37,29.53,379316
2005-02-25,31,32.33,28.03,28.53,561623
2005-02-28,28.93,30.27,27.6,29.13,215534
2005-03-01,29.8,29.8,26.83,27.77,52418
2005-03-02,27.87,31.33,27.73,30,183562
2005-03-03,30.6,33,30.6,32,325047
2005-03-04,32.4,33.27,32,32.13,177392
2005-03-07,32.73,32.73,30.2,31.07,118923
2005-03-08,30.13,31.17,28.9,29.17,76433
2005-03-09,30.43,30.43,28,28.63,61211
2005-03-10,29,34.37,28.4,32.37,1163992
2005-03-11,33.13,33.9,31.13,31.47,465060
2005-03-14,32.67,32.67,30.73,31.03,95415
2005-03-15,31.2,31.6,29.67,30.1,62326
2005-03-16,31,31.3,29.8,30.17,55241
2005-03-17,30,30.67,29.37,29.5,51361
2005-03-18,29.67,29.9,28.2,29.17,35080
2005-03-21,29.27,29.27,28.33,28.63,22938
2005-03-22,29,29,28.1,28.27,11957
2005-03-23,28.37,28.67,27.33,27.6,14383
2005-03-24,27.67,28,26.2,26.5,57815
2005-03-28,27,27.8,26.77,27.37,18564
2005-03-29,27,27.07,25.67,26.07,33824
2005-03-30,28.4,28.4,26.67,27.4,9038
2005-03-31,27.9,28.4,27.43,27.63,10074
2005-04-01,27.5,28.7,27.5,28.17,16090
2005-04-04,31.67,31.67,28.13,28.53,22073
2005-04-05,28.93,28.93,27.67,27.9,6307
2005-04-06,27.67,30.97,27.67,29.57,67673
2005-04-07,29.67,30.6,29.13,29.33,46873
