stock_name,symbol,industry,company_id,screener_url,status
Control Print,CONTROLPR,Computers Hardware & Equipments,706,https://www.screener.in/company/CONTROLPR/consolidated/,success
DC Infotech,DCI,Computers Hardware & Equipments,1274718,https://www.screener.in/company/DCI/consolidated/,success
D-Link India,DLINKINDIA,Computers Hardware & Equipments,756,https://www.screener.in/company/DLINKINDIA/consolidated/,success
GNG Electronics,EBGNG,Computers Hardware & Equipments,1285555,https://www.screener.in/company/EBGNG/consolidated/,success
Esconet,ESCONET,Computers Hardware & Equipments,1284681,https://www.screener.in/company/ESCONET/consolidated/,success
HCL Infosystems,HCL-INSYS,Computers Hardware & Equipments,1296,https://www.screener.in/company/HCL-INSYS/consolidated/,success
Moschip Tech.,MOSCHIP,Computers Hardware & Equipments,2130,https://www.screener.in/company/MOSCHIP/consolidated/,success
NELCO,NELCO,Computers Hardware & Equipments,2231,https://www.screener.in/company/NELCO/consolidated/,success
Newjaisa Tech,NEWJAISA,Computers Hardware & Equipments,1284512,https://www.screener.in/company/NEWJAISA/consolidated/,success
Richa Info,RICHA,Computers Hardware & Equipments,1275175,https://www.screener.in/company/RICHA/consolidated/,success
Rashi Peripheral,RPTECH,Computers Hardware & Equipments,1284661,https://www.screener.in/company/RPTECH/consolidated/,success
Slone Infosys.,SLONE,Computers Hardware & Equipments,1284770,https://www.screener.in/company/SLONE/consolidated/,success
Smartlink Hold.,SMARTLINK,Computers Hardware & Equipments,3103,https://www.screener.in/company/SMARTLINK/consolidated/,success
TVS Elec.,TVSELECT,Computers Hardware & Equipments,1272519,https://www.screener.in/company/TVSELECT/consolidated/,success
Action Const.Eq.,ACE,Construction Vehicles,53,https://www.screener.in/company/ACE/consolidated/,success
Ajax Engineering,AJAXENGG,Construction Vehicles,1285320,https://www.screener.in/company/AJAXENGG/consolidated/,success
BEML Ltd,BEML,Construction Vehicles,423,https://www.screener.in/company/BEML/consolidated/,success
TIL,TIL,Construction Vehicles,3420,https://www.screener.in/company/TIL/consolidated/,success
AAA Technologies,AAATECH,Consulting Services,1274796,https://www.screener.in/company/AAATECH/consolidated/,success
Dhruv Consultanc,DHRUV,Consulting Services,1274343,https://www.screener.in/company/DHRUV/consolidated/,success
Manglam Infra,MIEL,Consulting Services,1284864,https://www.screener.in/company/MIEL/consolidated/,success
Mitcon Consult.,MITCON,Consulting Services,1272891,https://www.screener.in/company/MITCON/consolidated/,success
VXL Instruments,VXLINSTR,Consumer Electronics,3716,https://www.screener.in/company/VXLINSTR/consolidated/,success
Arham Tech,ARHAM,Consumer Electronics,1275371,https://www.screener.in/company/ARHAM/consolidated/,success
BPL,BPL,Consumer Electronics,539,https://www.screener.in/company/BPL/consolidated/,success
Cellecor Gadgets,CELLECOR,Consumer Electronics,1284489,https://www.screener.in/company/CELLECOR/consolidated/,success
Dixon Technolog.,DIXON,Consumer Electronics,1274137,https://www.screener.in/company/DIXON/consolidated/,success
Focus Lighting,FOCUS,Consumer Electronics,1274055,https://www.screener.in/company/FOCUS/consolidated/,success
Havells India,HAVELLS,Consumer Electronics,1288,https://www.screener.in/company/HAVELLS/consolidated/,success
IKIO Tech,IKIO,Consumer Electronics,1284374,https://www.screener.in/company/IKIO/consolidated/,success
Kundan Edifice,KEL,Consumer Electronics,1284487,https://www.screener.in/company/KEL/consolidated/,success
Khaitan (India),KHAITANLTD,Consumer Electronics,1763,https://www.screener.in/company/KHAITANLTD/consolidated/,success
MIRC Electronics,MIRCELECTR,Consumer Electronics,2097,https://www.screener.in/company/MIRCELECTR/consolidated/,success
Nitiraj Engineer,NITIRAJ,Consumer Electronics,1273657,https://www.screener.in/company/NITIRAJ/consolidated/,success
PG Electroplast,PGEL,Consumer Electronics,2464,https://www.screener.in/company/PGEL/consolidated/,success
Pro FX,PROFX,Consumer Electronics,1285510,https://www.screener.in/company/PROFX/consolidated/,success
Pulz Electronics,PULZ,Consumer Electronics,1274200,https://www.screener.in/company/PULZ/consolidated/,success
Sonam,SONAMLTD,Consumer Electronics,1274367,https://www.screener.in/company/SONAMLTD/consolidated/,success
Universus Photo,UNIVPHOTO,Consumer Electronics,1274735,https://www.screener.in/company/UNIVPHOTO/consolidated/,success
Veto Switchgears,VETO,Consumer Electronics,1270825,https://www.screener.in/company/VETO/consolidated/,success
Bhagyanagar Ind,BHAGYANGR,Copper,449,https://www.screener.in/company/BHAGYANGR/consolidated/,success
Hindustan Copper,HINDCOPPER,Copper,1338,https://www.screener.in/company/HINDCOPPER/consolidated/,success
Virat Crane Inds,SUMEETINDS,Dairy Products,3239,https://www.screener.in/company/SUMEETINDS/consolidated/,success
Dodla Dairy,DODLA,Dairy Products,1274883,https://www.screener.in/company/DODLA/consolidated/,success
Hatsun Agro,HATSUN,Dairy Products,1287,https://www.screener.in/company/HATSUN/consolidated/,success
Heritage Foods,HERITGFOOD,Dairy Products,1307,https://www.screener.in/company/HERITGFOOD/consolidated/,success
Parag Milk Foods,PARAGMILK,Dairy Products,1273362,https://www.screener.in/company/PARAGMILK/consolidated/,success
Sheetal Cool,SCPL,Dairy Products,1274186,https://www.screener.in/company/SCPL/consolidated/,success
Vadilal Inds.,VADILALIND,Dairy Products,3588,https://www.screener.in/company/VADILALIND/consolidated/,success
Tracxn Technolo.,TRACXN,Data Processing Services,1275332,https://www.screener.in/company/TRACXN/consolidated/,success
Beacon Trust.,BEACON,Depositories,1284792,https://www.screener.in/company/BEACON/consolidated/,success
Cams Services,CAMS,Depositories,1274786,https://www.screener.in/company/CAMS/consolidated/,success
C D S L,CDSL,Depositories,1274088,https://www.screener.in/company/CDSL/consolidated/,success
KFin Technolog.,KFINTECH,Depositories,1275381,https://www.screener.in/company/KFINTECH/consolidated/,success
Bodhi Tree,BTML,Digital Entertainment,1274802,https://www.screener.in/company/BTML/consolidated/,success
Nazara Technolo.,NAZARA,Digital Entertainment,1274852,https://www.screener.in/company/NAZARA/consolidated/,success
Radhagobind Comm,PUNJCOMMU,Distributors,2599,https://www.screener.in/company/PUNJCOMMU/consolidated/,success
3M India,3MINDIA,Diversified,13,https://www.screener.in/company/3MINDIA/consolidated/,success
Balmer Lawrie,BALMLAWRIE,Diversified,385,https://www.screener.in/company/BALMLAWRIE/consolidated/,success
DCM Shriram,DCMSHRIRAM,Diversified,773,https://www.screener.in/company/DCMSHRIRAM/consolidated/,success
Dhunseri Vent.,DVL,Diversified,823,https://www.screener.in/company/DVL/consolidated/,success
Godrej Industrie,GODREJIND,Diversified,1165,https://www.screener.in/company/GODREJIND/consolidated/,success
Maheshwari Logi.,MAHESHWARI,Diversified,1273617,https://www.screener.in/company/MAHESHWARI/consolidated/,success
TTK Healthcare,TTKHLTCARE,Diversified,3487,https://www.screener.in/company/TTKHLTCARE/consolidated/,success
Nirlon,NIRLON,Diversified Commercial Services,2276,https://www.screener.in/company/NIRLON/consolidated/,success
AWFIS Space,AWFIS,Diversified Commercial Services,1284789,https://www.screener.in/company/AWFIS/consolidated/,success
Bluspring Enter.,BLUSPRING,Diversified Commercial Services,1285489,https://www.screener.in/company/BLUSPRING/consolidated/,success
CMS Info Systems,CMSINFO,Diversified Commercial Services,1275144,https://www.screener.in/company/CMSINFO/consolidated/,success
EFC (I),EFCIL,Diversified Commercial Services,155,https://www.screener.in/company/EFCIL/consolidated/,success
Hemisphere Prop,HEMIPROP,Diversified Commercial Services,1274804,https://www.screener.in/company/HEMIPROP/consolidated/,success
International Ge,IGIL,Diversified Commercial Services,1285192,https://www.screener.in/company/IGIL/consolidated/,success
Indiqube Spaces,INDIQUBE,Diversified Commercial Services,1285556,https://www.screener.in/company/INDIQUBE/consolidated/,success
Kapston Services,KAPSTON,Diversified Commercial Services,1274320,https://www.screener.in/company/KAPSTON/consolidated/,success
Krystal Integrat,KRYSTAL,Diversified Commercial Services,1284715,https://www.screener.in/company/KRYSTAL/consolidated/,success
NDR INVIT Trust,NDRINVIT,Diversified Commercial Services,1284686,https://www.screener.in/company/NDRINVIT/consolidated/,success
NESCO,NESCO,Diversified Commercial Services,2235,https://www.screener.in/company/NESCO/consolidated/,success
PTL Enterprises,PTL,Diversified Commercial Services,2590,https://www.screener.in/company/PTL/consolidated/,success
Quess Corp,QUESS,Diversified Commercial Services,1273420,https://www.screener.in/company/QUESS/consolidated/,success
Radiant Cash,RADIANTCMS,Diversified Commercial Services,1275390,https://www.screener.in/company/RADIANTCMS/consolidated/,success
Sanghvi Movers,SANGHVIMOV,Diversified Commercial Services,2879,https://www.screener.in/company/SANGHVIMOV/consolidated/,success
Smartworks Cowor,SMARTWORKS,Diversified Commercial Services,1285540,https://www.screener.in/company/SMARTWORKS/consolidated/,success
Tara Chand Infra,TARACHAND,Diversified Commercial Services,1274302,https://www.screener.in/company/TARACHAND/consolidated/,success
Team Lease Serv.,TEAMLEASE,Diversified Commercial Services,1273242,https://www.screener.in/company/TEAMLEASE/consolidated/,success
Texmaco Infrast.,TEXINFRA,Diversified Commercial Services,3401,https://www.screener.in/company/TEXINFRA/consolidated/,success
Updater Services,UDS,Diversified Commercial Services,1284513,https://www.screener.in/company/UDS/consolidated/,success
Vision Infra,VIESL,Diversified Commercial Services,1284969,https://www.screener.in/company/VIESL/consolidated/,success
Davangere Sugar,DAVANGERE,Diversified FMCG,1274854,https://www.screener.in/company/DAVANGERE/consolidated/,success
Godavari Bioref.,GODAVARIB,Diversified FMCG,1285137,https://www.screener.in/company/GODAVARIB/consolidated/,success
Hind. Unilever,HINDUNILVR,Diversified FMCG,1350,https://www.screener.in/company/HINDUNILVR/consolidated/,success
Hindustan Foods,HNDFDS,Diversified FMCG,6314,https://www.screener.in/company/HNDFDS/consolidated/,success
ITC,ITC,Diversified FMCG,1552,https://www.screener.in/company/ITC/consolidated/,success
Innomet Advanced,INNOMET,Diversified Metals,1284977,https://www.screener.in/company/INNOMET/consolidated/,success
Jain Resource,JAINREC,Diversified Metals,1285688,https://www.screener.in/company/JAINREC/consolidated/,success
Pondy Oxides,POCL,Diversified Metals,2517,https://www.screener.in/company/POCL/consolidated/,success
Vedanta,VEDL,Diversified Metals,2943,https://www.screener.in/company/VEDL/consolidated/,success
Avenue Super.,DMART,Diversified Retail,1273670,https://www.screener.in/company/DMART/consolidated/,success
Electronics Mart,EMIL,Diversified Retail,1275325,https://www.screener.in/company/EMIL/consolidated/,success
Future Consumer,FCONSUMER,Diversified Retail,1060,https://www.screener.in/company/FCONSUMER/consolidated/,success
Future Enterp.,FEL,Diversified Retail,2404,https://www.screener.in/company/FEL/consolidated/,success
Future Ent. DVR,FELDVR,Diversified Retail,1270588,https://www.screener.in/company/FELDVR/consolidated/,success
Future Lifestyle,FLFL,Diversified Retail,569658,https://www.screener.in/company/FLFL/consolidated/,success
Jay Jalaram Tech,KORE,Diversified Retail,1275281,https://www.screener.in/company/KORE/consolidated/,success
On Door Concepts,ONDOOR,Diversified Retail,1284538,https://www.screener.in/company/ONDOOR/consolidated/,success
Osia Hyper Reta.,OSIAHYPER,Diversified Retail,1274648,https://www.screener.in/company/OSIAHYPER/consolidated/,success
Patel Retail,PATELRMART,Diversified Retail,1285603,https://www.screener.in/company/PATELRMART/consolidated/,success
JHS Svend.Retail,RETAIL,Diversified Retail,1284835,https://www.screener.in/company/RETAIL/consolidated/,success
Shoppers Stop,SHOPERSTOP,Diversified Retail,2994,https://www.screener.in/company/SHOPERSTOP/consolidated/,success
Spencer's Retail,SPENCERS,Diversified Retail,1274620,https://www.screener.in/company/SPENCERS/consolidated/,success
V-Mart Retail,VMART,Diversified Retail,313489,https://www.screener.in/company/VMART/consolidated/,success
Vishal Mega Mart,VMM,Diversified Retail,1285185,https://www.screener.in/company/VMM/consolidated/,success
Yash Optics,YASHOPTICS,Diversified consumer products,1284737,https://www.screener.in/company/YASHOPTICS/consolidated/,success
Dredging Corpn.,DREDGECORP,Dredging,854,https://www.screener.in/company/DREDGECORP/consolidated/,success
Knowledge Marine,KMEW,Dredging,1274846,https://www.screener.in/company/KMEW/consolidated/,success
AksharChem (I),AKSHARCHEM,Dyes And Pigments,114,https://www.screener.in/company/AKSHARCHEM/consolidated/,success
Arunaya Organics,ARUNAYA,Dyes And Pigments,1285446,https://www.screener.in/company/ARUNAYA/consolidated/,success
Asahi Songwon,ASAHISONG,Dyes And Pigments,267,https://www.screener.in/company/ASAHISONG/consolidated/,success
Bhageria Indust.,BHAGERIA,Dyes And Pigments,444,https://www.screener.in/company/BHAGERIA/consolidated/,success
Bodal Chemicals,BODALCHEM,Dyes And Pigments,524,https://www.screener.in/company/BODALCHEM/consolidated/,success
Ducol Organics,DUCOL,Dyes And Pigments,1275399,https://www.screener.in/company/DUCOL/consolidated/,success
Heubach Colorant,HEUBACHIND,Dyes And Pigments,670,https://www.screener.in/company/HEUBACHIND/consolidated/,success
Hindprakash Indu,HPIL,Dyes And Pigments,1274727,https://www.screener.in/company/HPIL/consolidated/,success
Kiri Industries,KIRIINDUS,Dyes And Pigments,1786,https://www.screener.in/company/KIRIINDUS/consolidated/,success
Mahickra Chem.,MAHICKRA,Dyes And Pigments,1274333,https://www.screener.in/company/MAHICKRA/consolidated/,success
Paragon Fine,PARAGON,Dyes And Pigments,1284540,https://www.screener.in/company/PARAGON/consolidated/,success
