Stock Name,Basic industry,Index,Sector
EBIX,2/3 Wheelers,,
WARDINMOBI,2/3 Wheelers,,
SEVL,2/3 Wheelers,,
ATHERENERG,2/3 Wheelers,NA,Auto
BAJAJ-AUTO,2/3 Wheelers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
DELTIC,2/3 Wheelers,,
EICHERMOT,2/3 Wheelers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
HEROMOTOCO,2/3 Wheelers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
OLAELEC,2/3 Wheelers,NA,Auto
TUNWAL,2/3 Wheelers,,
TVSMOTOR,2/3 Wheelers,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
526073,Abrasives & Bearings,,
CARBORUNIV,Abrasives & Bearings,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
GRINDWELL,Abrasives & Bearings,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
NIBL,Abrasives & Bearings,NA,Metals & Mining
SKFINDIA,Abrasives & Bearings,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
SKP,Abrasives & Bearings,,
TIMKEN,Abrasives & Bearings,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
WENDT,Abrasives & Bearings,NA,Capital Goods
RAMAVISION,Advertising & Media Agencies,,
ESHAMEDIA,Advertising & Media Agencies,,
PICTUREHS,Advertising & Media Agencies,,
ESHAMEDIA,Advertising & Media Agencies,,
SHARP,Advertising & Media Agencies,,
DAPS,Advertising & Media Agencies,,
BRIGHT,Advertising & Media Agencies,,
ADCINDIA,Advertising & Media Agencies,,
ATHENAGLO,Advertising & Media Agencies,,
CMRSL,Advertising & Media Agencies,,
CRAYONS,Advertising & Media Agencies,,
CUDML,Advertising & Media Agencies,,
DGCONTENT,Advertising & Media Agencies,NA,Media Entertainment & Publication
GRAPHISAD,Advertising & Media Agencies,,
PRAMARA,Advertising & Media Agencies,,
RKSWAMY,Advertising & Media Agencies,NA,Financial Services
SIGNPOST,Advertising & Media Agencies,NA,Media Entertainment & Publication
VERITAAS,Advertising & Media Agencies,,
VERTOZ,Advertising & Media Agencies,NA,Media Entertainment & Publication
WINPRO,Advertising & Media Agencies,,
JAYKAY,Aerospace & Defense,,
PACE,Aerospace & Defense,,
SIKA,Aerospace & Defense,,
FLUIDOM,Aerospace & Defense,,
APOLLO,Aerospace & Defense,NA,Capital Goods
ASTRAMICRO,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
AVANTEL,Aerospace & Defense,NA,Capital Goods
AXISCADES,Aerospace & Defense,NA,Capital Goods
BDL,Aerospace & Defense,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
BEL,Aerospace & Defense,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
C2C,Aerospace & Defense,,
DATAPATTNS,Aerospace & Defense,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
DCXINDIA,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
GRSE,Aerospace & Defense,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
HAL,Aerospace & Defense,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
IDEAFORGE,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
KRISHNADEF,Aerospace & Defense,,
MIDHANI,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
MTARTECH,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
NIBE,Aerospace & Defense,NA,Capital Goods
PARAS,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
ROSSTECH,Aerospace & Defense,NA,Capital Goods
TECHERA,Aerospace & Defense,,
UNIMECH,Aerospace & Defense,NA,Capital Goods
ZENTEC,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
TAALENT,Airline,,
FLYSBS,Airline,,
GLOBALVECT,Airline,NA,Services
INDIGO,Airline,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Services
SPICEJET,Airline,,
DREAMFOLKS,Airport & Airport services,NIFTY MICROCAP 250,Consumer Services
GMRAIRPORT,Airport & Airport services,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
506003,Aluminium,,
MSRINDIA,Aluminium,,
513307,Aluminium,,
GOLKONDA,Aluminium,,
MAITRI,Aluminium,,
BARODARY,Aluminium,,
513709,Aluminium,,
KPGEL,Aluminium,,
ADCINDIA,Aluminium,,
META,Aluminium,,
SHINDL,Aluminium,,
RCIIND,Aluminium,,
META,Aluminium,,
META,Aluminium,,
