symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
ALTIUSINVIT,BSE,ALTIUSINVIT,Altius Telecom Infrastructure Trust,altius-telecom-infrastructure,delayed_streaming_900,stock,['common'],148,100,1,false,0,INR,4.225352112676056,25000,0.15625,432730800000,INR,53.15328257434276,2.7844,28.698867575687554,7.69056338028169,Miscellaneous,india,Miscellaneous,Neutral,Neutral,BSE,BSE:ALTIUSINVIT
ELITECON,BSE,ELITECON,Elitecon International Ltd.,elitecon-international-limited,delayed_streaming_900,stock,['common'],174.85,100,5,false,0,INR,-4.998641673458308,174944,0.2819620915197013,294203925000,INR,9.17515440601567,19.0569,94.49388663223857,0,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:ELITECON
NSDL,BSE,NSDL,National Securities Depository Limited,national-securities-depository,delayed_streaming_900,stock,['common'],1200.1,100,5,false,0,INR,-0.20788292033926495,399778,0.3647339266470404,240520000000,INR,67.6257452299647,17.7462,19.901895869086406,0.166306336271412,Finance,india,Finance,Sell,Sell,BSE,BSE:NSDL
RRP,BSE,RRP,RRP Semiconductor Ltd,gdtrading-and-agencies-ltd,delayed_streaming_900,stock,['common'],7473.6,100,5,false,0,INR,1.9994267854949435,7,0.018528321863419798,99824408768,INR,1642.0802847538066,4.5513,8.10688836104514,0,Finance,india,Finance,Neutral,Neutral,BSE,BSE:RRP
KAMAHOLD,BSE,KAMAHOLD,Kama Holdings Limited,kama-holdings-limited,delayed_streaming_900,stock,['common'],2920,100,5,false,0,INR,-0.8892811078677558,2818,0.7801771871539316,94545242712,INR,12.886603625284046,226.5919,-10.84513647949246,1.22191297264273,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:KAMAHOLD
BENGALASM,BSE,BENGALASM,Bengal & Assam Co. Ltd.,bengal-and-assam-company-ltd,delayed_streaming_900,stock,['common'],7749,100,5,false,0,INR,0.519526005487131,534,0.4006903279057552,87912090910,INR,11.973731034059695,647.1667,-80.97251000707247,0.648596760907776,Consumer durables,india,Consumer Durables,Neutral,Neutral,BSE,BSE:BENGALASM
KIRLFER,BSE,KIRLFER,Kirloskar Ferrous Industries Ltd.,kirloskar-ferrous-ind-ltd,delayed_streaming_900,stock,['common'],536.85,100,5,false,0,INR,1.2160633484162984,16272,0.36690958943646723,87377601153,INR,27.816062176165804,19.3,22.945598165371386,1.0369532428356,Non-energy minerals,india,Non-Energy Minerals,StrongBuy,Strong buy,BSE,BSE:KIRLFER
ELANTAS,BSE,ELANTAS,ELANTAS Beck India Limited,elantas-beck-india-ltd,delayed_streaming_900,stock,['common'],10030,100,5,false,0,INR,-1.8360476041340466,1003,1.310254735467015,81001879719,INR,59.80126661825328,167.7222,-11.697830697078897,0.073402756028813,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:ELANTAS
KOVAI,BSE,KOVAI,Kovai Medical Center & Hospital Ltd.,kovai-medical-center-and-hospita,delayed_streaming_900,stock,['common'],6334.7,100,5,false,0,INR,1.2782285463048053,2751,0.6301683655938609,68441111342,INR,31.44748691156657,201.4374,13.36323526101343,0.159878492345817,Health services,india,Health Services,Neutral,Neutral,BSE,BSE:KOVAI
CIANAGRO,BSE,CIANAGRO,CIAN Agro Industries & Infrastructure Limited,cian-agro-ind-and-infra-ltd,delayed_streaming_900,stock,['common'],2342.05,100,5,false,0,INR,4.9987671202169865,17816,0.16997242813665722,62423944063,INR,70.26810520188899,33.3302,2095.8100006588047,0,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:CIANAGRO
ASMTEC,BSE,ASMTEC,ASM Technologies Ltd,asm-technologies-ltd,delayed_streaming_900,stock,['common'],4146,100,5,false,0,INR,0.9053738317756965,10558,0.3736009426718236,57683031120,INR,135.0009280092736,30.7109,,0.0973520249221184,Technology services,india,Technology Services,Neutral,Neutral,BSE,BSE:ASMTEC
ENERGYINF,BSE,ENERGYINF,Energy Infrastructure Trust,india-infrastructure-trust,delayed_streaming_900,stock,['common'],84.25,100,1,false,0,INR,0.5970149253731344,325000,0.012945628360884287,55610000000,INR,,,,4.86567164179105,Miscellaneous,india,Miscellaneous,Neutral,Neutral,BSE,BSE:ENERGYINF
KOTIC,BSE,KOTIC,Kothari Industrial Corp. Ltd.,kothari-industrial,delayed_streaming_900,stock,['common'],525.6,100,5,false,0,INR,-4.997740623587886,19254,1.8404274639876883,51857843107.5,INR,,-2.4149,-108.28368064488465,0,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:KOTIC
SHILCTECH,BSE,SHILCTECH,Shilchar Technologies Limited,shilchar-technologies-ltd,delayed_streaming_900,stock,['common'],4496.85,100,5,false,0,INR,0.6175532807518122,9266,0.39752032433128137,51129113189,INR,31.298917064499364,143.6743,65.21313662132171,0.279688985847737,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:SHILCTECH
HAWKINCOOK,BSE,HAWKINCOOK,Hawkins Cookers Limited,hawkins-cookers-ltd,delayed_streaming_900,stock,['common'],8751,100,5,false,0,INR,-0.35412942234773415,166,0.26856495712667744,46438118871,INR,40.0360512036893,218.578,1.3059869243725235,1.4802837590098,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:HAWKINCOOK
KENNAMET,BSE,KENNAMET,Kennametal India Limited,kennametal-india-l,delayed_streaming_900,stock,['common'],2080,100,5,false,0,INR,-0.32824592088554083,597,0.17001281503630927,45865294308,INR,44.4466287873122,46.7977,-7.0044214814446795,1.91676450152143,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:KENNAMET
TANFACIND,BSE,TANFACIND,TANFAC Industries Limited,tanfac-industries-ltd,delayed_streaming_900,stock,['common'],4563,100,5,false,0,INR,-0.05256932579838867,2763,0.37755185701401983,45539865767,INR,47.3113017295635,96.4463,111.83673559037616,0.197134971743987,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:TANFACIND
NIRLON,BSE,NIRLON,Nirlon Limited,nirlon-ltd,delayed_streaming_900,stock,['common'],509.75,100,5,false,0,INR,2.092930102142998,10438,0.6596851359123285,44995937267,INR,20.260575444063324,25.1597,10.275077360028755,5.2072902062888,Finance,india,Finance,Neutral,Neutral,BSE,BSE:NIRLON
WPIL,BSE,WPIL,WPIL Limited,wpil-ltd,delayed_streaming_900,stock,['common'],451.35,100,5,false,0,INR,-0.496031746031746,33286,0.4763267630787371,44303475138,INR,38.09793113926615,11.8471,,0.440917107583774,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:WPIL
BONDADA,BSE,BONDADA,Bondada Engineering Limited,bondada-engineering-limited,delayed_streaming_900,stock,['common'],383.2,100,5,false,0,INR,-0.28623471246422655,72200,0.44956413449564137,42885374364,INR,37.27626459143969,10.28,148.24921516541895,0.0260213374967473,Industrial services,india,Industrial Services,Neutral,Neutral,BSE,BSE:BONDADA
INA,BSE,INA,Insolation Energy Ltd.,insolation-energy-limited,delayed_streaming_900,stock,['common'],179.95,100,5,false,0,INR,0.36252091466814124,486000,1.1747643219724437,39507499900,INR,30.236582988876567,5.9514,123.49318412257311,0.0557724484104852,Electronic technology,india,Electronic Technology,Neutral,Neutral,BSE,BSE:INA
